BMI Drawing Data Interchange,application/vnd.bmi,.bmi,IANA: BMI,application,.bmi
Bourne Shell Script,application/x-sh,.sh,Wikipedia: Bourne Shell,application,.sh
BTIF,image/prs.btif,.btif,IANA: BTIF,image,.btif
BusinessObjects,application/vnd.businessobjects,.rep,IANA: BusinessObjects,application,.rep
Bzip Archive,application/x-bzip,.bz,Wikipedia: Bzip,application,.bz
Bzip2 Archive,application/x-bzip2,.bz2,Wikipedia: Bzip,application,.bz2
C Shell Script,application/x-csh,.csh,Wikipedia: C Shell,application,.csh
C Source File,text/x-c,.c,Wikipedia: C Programming Language,text,.c
CambridgeSoft Chem Draw,application/vnd.chemdraw+xml,.cdxml,IANA: Chem Draw,application,.cdxml
Cascading Style Sheets (CSS),text/css,.css,Wikipedia: CSS,text,.css
ChemDraw eXchange file,chemical/x-cdx,.cdx,ChemDraw eXchange file,chemical,.cdx
Chemical Markup Language,chemical/x-cml,.cml,Wikipedia: Chemical Markup Language,chemical,.cml
Chemical Style Markup Language,chemical/x-csml,.csml,Wikipedia: Chemical Style Markup Language,chemical,.csml
CIM Database,application/vnd.contact.cmsg,.cdbcmsg,IANA: CIM Database,application,.cdbcmsg
Claymore Data Files,application/vnd.claymore,.cla,IANA: Claymore,application,.cla
Clonk Game,application/vnd.clonk.c4group,.c4g,IANA: Clonk,application,.c4g
Close Captioning - Subtitle,image/vnd.dvb.subtitle,.sub,Wikipedia: Closed Captioning,image,.sub
Cloud Data Management Interface (CDMI) - Capability,application/cdmi-capability,.cdmia,RFC 6208,application,.cdmia
Cloud Data Management Interface (CDMI) - Contaimer,application/cdmi-container,.cdmic,RFC 6209,application,.cdmic
Cloud Data Management Interface (CDMI) - Domain,application/cdmi-domain,.cdmid,RFC 6210,application,.cdmid
Cloud Data Management Interface (CDMI) - Object,application/cdmi-object,.cdmio,RFC 6211,application,.cdmio
Cloud Data Management Interface (CDMI) - Queue,application/cdmi-queue,.cdmiq,RFC 6212,application,.cdmiq
ClueTrust CartoMobile - Config,application/vnd.cluetrust.cartomobile-config,.c11amc,IANA: CartoMobile,application,.c11amc
ClueTrust CartoMobile - Config Package,application/vnd.cluetrust.cartomobile-config-pkg,.c11amz,IANA: CartoMobile,application,.c11amz
CMU Image,image/x-cmu-raster,.ras, ,image,.ras
COLLADA,model/vnd.collada+xml,.dae,IANA: COLLADA,model,.dae
Comma-Seperated Values,text/csv,.csv,Wikipedia: CSV,text,.csv
Compact Pro,application/mac-compactpro,.cpt,Compact Pro,application,.cpt
Compiled Wireless Markup Language (WMLC),application/vnd.wap.wmlc,.wmlc,IANA: WMLC,application,.wmlc
Computer Graphics Metafile,image/cgm,.cgm,Wikipedia: Computer Graphics Metafile,image,.cgm
CoolTalk,x-conference/x-cooltalk,.ice,Wikipedia: CoolTalk,x-conference,.ice
Corel Metafile Exchange (CMX),image/x-cmx,.cmx,Wikipedia: CorelDRAW,image,.cmx
CorelXARA,application/vnd.xara,.xar,IANA: CorelXARA,application,.xar
CosmoCaller,application/vnd.cosmocaller,.cmc,IANA: CosmoCaller,application,.cmc
CPIO Archive,application/x-cpio,.cpio,Wikipedia: cpio,application,.cpio
CrickSoftware - Clicker,application/vnd.crick.clicker,.clkx,IANA: Clicker,application,.clkx
CrickSoftware - Clicker - Keyboard,application/vnd.crick.clicker.keyboard,.clkk,IANA: Clicker,application,.clkk
CrickSoftware - Clicker - Palette,application/vnd.crick.clicker.palette,.clkp,IANA: Clicker,application,.clkp
CrickSoftware - Clicker - Template,application/vnd.crick.clicker.template,.clkt,IANA: Clicker,application,.clkt
CrickSoftware - Clicker - Wordbank,application/vnd.crick.clicker.wordbank,.clkw,IANA: Clicker,application,.clkw
Critical Tools - PERT Chart EXPERT,application/vnd.criticaltools.wbs+xml,.wbs,IANA: Critical Tools,application,.wbs
CryptoNote,application/vnd.rig.cryptonote,.cryptonote,IANA: CryptoNote,application,.cryptonote
Crystallographic Interchange Format,chemical/x-cif,.cif,Crystallographic Interchange Format,chemical,.cif
CrystalMaker Data Format,chemical/x-cmdf,.cmdf,CrystalMaker Data Format,chemical,.cmdf
CU-SeeMe,application/cu-seeme,.cu,White Pine,application,.cu
CU-Writer,application/prs.cww,.cww, ,application,.cww
Curl - Applet,text/vnd.curl,.curl,Curl Applet,text,.curl
Curl - Detached Applet,text/vnd.curl.dcurl,.dcurl,Curl Detached Applet,text,.dcurl
Curl - Manifest File,text/vnd.curl.mcurl,.mcurl,Curl Manifest File,text,.mcurl
Curl - Source Code,text/vnd.curl.scurl,.scurl,Curl Source Code,text,.scurl
CURL Applet,application/vnd.curl.car,.car,IANA: CURL Applet,application,.car
CURL Applet,application/vnd.curl.pcurl,.pcurl,IANA: CURL Applet,application,.pcurl
CustomMenu,application/vnd.yellowriver-custom-menu,.cmp,IANA: CustomMenu,application,.cmp
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+der,.dssc,RFC 5698,application,.dssc
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+xml,.xdssc,RFC 5698,application,.xdssc
Debian Package,application/x-debian-package,.deb,Wikipedia: Debian Package,application,.deb
DECE Audio,audio/vnd.dece.audio,.uva,IANA: Dece Audio,audio,.uva
DECE Graphic,image/vnd.dece.graphic,.uvi,IANA: DECE Graphic,image,.uvi
DECE High Definition Video,video/vnd.dece.hd,.uvh,IANA: DECE HD Video,video,.uvh
DECE Mobile Video,video/vnd.dece.mobile,.uvm,IANA: DECE Mobile Video,video,.uvm
DECE MP4,video/vnd.uvvu.mp4,.uvu,IANA: DECE MP4,video,.uvu
DECE PD Video,video/vnd.dece.pd,.uvp,IANA: DECE PD Video,video,.uvp
DECE SD Video,video/vnd.dece.sd,.uvs,IANA: DECE SD Video,video,.uvs
DECE Video,video/vnd.dece.video,.uvv,IANA: DECE Video,video,.uvv
Device Independent File Format (DVI),application/x-dvi,.dvi,Wikipedia: DVI,application,.dvi
Digital Siesmograph Networks - SEED Datafiles,application/vnd.fdsn.seed,.seed,IANA: SEED,application,.seed
Digital Talking Book,application/x-dtbook+xml,.dtb,Wikipedia: EPUB,application,.dtb
Digital Talking Book - Resource File,application/x-dtbresource+xml,.res,Digital Talking Book,application,.res
Digital Video Broadcasting,application/vnd.dvb.ait,.ait,IANA: Digital Video Broadcasting,application,.ait
Digital Video Broadcasting,application/vnd.dvb.service,.svc,IANA: Digital Video Broadcasting,application,.svc
Digital Winds Music,audio/vnd.digital-winds,.eol,IANA: Digital Winds,audio,.eol
DjVu,image/vnd.djvu,.djvu,Wikipedia: DjVu,image,.djvu
Document Type Definition,application/xml-dtd,.dtd,W3C DTD,application,.dtd
Dolby Meridian Lossless Packing,application/vnd.dolby.mlp,.mlp,IANA: Dolby Meridian Lossless Packing,application,.mlp
Doom Video Game,application/x-doom,.wad,Wikipedia: Doom WAD,application,.wad
DPGraph,application/vnd.dpgraph,.dpg,IANA: DPGraph,application,.dpg
DRA Audio,audio/vnd.dra,.dra,IANA: DRA,audio,.dra
DreamFactory,application/vnd.dreamfactory,.dfac,IANA: DreamFactory,application,.dfac
DTS Audio,audio/vnd.dts,.dts,IANA: DTS,audio,.dts
DTS High Definition Audio,audio/vnd.dts.hd,.dtshd,IANA: DTS HD,audio,.dtshd
DWG Drawing,image/vnd.dwg,.dwg,Wikipedia: DWG,image,.dwg
DynaGeo,application/vnd.dynageo,.geo,IANA: DynaGeo,application,.geo
ECMAScript,application/ecmascript,.es,ECMA-357,application,.es
EcoWin Chart,application/vnd.ecowin.chart,.mag,IANA: EcoWin Chart,application,.mag
EDMICS 2000,image/vnd.fujixerox.edmics-mmr,.mmr,IANA: EDMICS 2000,image,.mmr
EDMICS 2000,image/vnd.fujixerox.edmics-rlc,.rlc,IANA: EDMICS 2000,image,.rlc
Efficient XML Interchange,application/exi,.exi,Efficient XML Interchange (EXI) Best Practices,application,.exi
EFI Proteus,application/vnd.proteus.magazine,.mgz,IANA: EFI Proteus,application,.mgz
Electronic Publication,application/epub+zip,.epub,Wikipedia: EPUB,application,.epub
Email Message,message/rfc822,.eml,RFC 2822,message,.eml
Enliven Viewer,application/vnd.enliven,.nml,IANA: Enliven Viewer,application,.nml
Express by Infoseek,application/vnd.is-xpr,.xpr,IANA: Express by Infoseek,application,.xpr
eXtended Image File Format (XIFF),image/vnd.xiff,.xif,IANA: XIFF,image,.xif
Extensible Forms Description Language,application/vnd.xfdl,.xfdl,IANA: Extensible Forms Description Language,application,.xfdl
Extensible MultiModal Annotation,application/emma+xml,.emma,EMMA: Extensible MultiModal Annotation markup language,application,.emma
EZPix Secure Photo Album,application/vnd.ezpix-album,.ez2,IANA: EZPix Secure Photo Album,application,.ez2
